CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
cpus=4
          <idle>-0     [003] 1300610.040801464:          sched_wakeup:         task_client_b.a:3802 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300610.040813335: (+11871) sched_switch:         swapper/3:0 [120] R ==> task_client_b.a:3802 [0]
 task_client_b.a-3802  [003] 1300610.040834427: (+21092) sched_wakeup:         task_server.a:3797 [0]<CANT FIND FIELD success> CPU:003
 task_client_b.a-3802  [003] 1300610.040873353: (+38926) sched_switch:         task_client_b.a:3802 [0] S ==> task_server.a:3797 [0]
   task_server.a-3797  [003] 1300610.173413223: (+132539870) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
   task_server.a-3797  [003] 1300610.173434038: (+20815) sched_switch:         task_server.a:3797 [0] S ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300610.173509464: (+75426) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
          <idle>-0     [003] 1300610.174505038: (+995574) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300610.174515390: (+10352) sched_switch:         swapper/3:0 [120] R ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300610.174529742: (+14352) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
          <idle>-0     [003] 1300611.040890923: (+866361181) sched_wakeup:         task_client_b.a:3802 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300611.040896609: (+5686)  sched_switch:         swapper/3:0 [120] R ==> task_client_b.a:3802 [0]
 task_client_b.a-3802  [003] 1300611.040914535: (+17926) sched_wakeup:         task_server.a:3797 [0]<CANT FIND FIELD success> CPU:003
 task_client_b.a-3802  [003] 1300611.040943368: (+28833) sched_switch:         task_client_b.a:3802 [0] S ==> task_server.a:3797 [0]
   task_server.a-3797  [003] 1300611.169235886: (+128292518) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
   task_server.a-3797  [003] 1300611.169256238: (+20352) sched_switch:         task_server.a:3797 [0] S ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300611.169330608: (+74370) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
          <idle>-0     [003] 1300611.170326071: (+995463) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300611.170338127: (+12056) sched_switch:         swapper/3:0 [120] R ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300611.170352238: (+14111) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
          <idle>-0     [003] 1300612.040965809: (+870613571) sched_wakeup:         task_client_b.a:3802 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300612.040974549: (+8740)  sched_switch:         swapper/3:0 [120] R ==> task_client_b.a:3802 [0]
 task_client_b.a-3802  [003] 1300612.040994531: (+19982) sched_wakeup:         task_server.a:3797 [0]<CANT FIND FIELD success> CPU:003
 task_client_b.a-3802  [003] 1300612.041030531: (+36000) sched_switch:         task_client_b.a:3802 [0] S ==> task_server.a:3797 [0]
   task_server.a-3797  [003] 1300612.171683012: (+130652481) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
   task_server.a-3797  [003] 1300612.171704401: (+21389) sched_switch:         task_server.a:3797 [0] S ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300612.171779715: (+75314) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
          <idle>-0     [003] 1300612.172774660: (+994945) sched_wakeup:         task_client_a.a:3800 [0]<CANT FIND FIELD success> CPU:003
          <idle>-0     [003] 1300612.172785530: (+10870) sched_switch:         swapper/3:0 [120] R ==> task_client_a.a:3800 [0]
 task_client_a.a-3800  [003] 1300612.172800197: (+14667) sched_switch:         task_client_a.a:3800 [0] S ==> swapper/3:0 [120]
