CPU 3 is empty
cpus=4
 task_client_A.a-3360  [000] 14764.226024473:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.226029528: (+5055)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.226075880: (+46352) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14764.226089769: (+13889) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.226099417: (+9648)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.226103454: (+4037)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.226136269: (+32815) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.226163862: (+27593) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.226167843: (+3981)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.226183936: (+16093) sched_switch:         kworker/u9:3:569 [100] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.240239084: (+14055148) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.240249343: (+10259) sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.240257825: (+8482)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.256237732: (+15979907) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.256243343: (+5611)  sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.256261510: (+18167) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.256274973: (+13463) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.256279473: (+4500)  sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.256286288: (+6815)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.276757658: (+20471370) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.276762269: (+4611)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276783584: (+21315) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276813825: (+30241) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276835399: (+21574) sched_switch:         kworker/0:2:3318 [120] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.276843917: (+8518)  sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.276847862: (+3945)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276853565: (+5703)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276860288: (+6723)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.276866751: (+6463)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276870491: (+3740)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276872751: (+2260)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.276883547: (+10796) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276892584: (+9037)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276896047: (+3463)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.276905084: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276913639: (+8555)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276916991: (+3352)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.276943584: (+26593) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276956547: (+12963) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276960084: (+3537)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.276980139: (+20055) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.276991973: (+11834) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.276995454: (+3481)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.277066121: (+70667) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.277082047: (+15926) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14764.277085713: (+3666)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14764.277094454: (+8741)  sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14764.277098751: (+4297)  sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.296239491: (+19140740) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.296244899: (+5408)  sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.296249862: (+4963)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.312239195: (+15989333) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.312244565: (+5370)  sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.312258102: (+13537) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.312267195: (+9093)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.312271621: (+4426)  sched_switch:         task_client_A.a:3360 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14764.312278065: (+6444)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.448246509: (+135968444) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.448250805: (+4296)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14764.448263750: (+12945) sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.600972138: (+152708388) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.600976120: (+3982)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14764.600992546: (+16426) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14764.601009583: (+17037) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.603121657: (+2112074) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.603124842: (+3185)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14764.603134509: (+9667)  sched_switch:         kworker/0:1H:67 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.603140546: (+6037)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.603144249: (+3703)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14764.603154397: (+10148) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.626711083: (+23556686) sched_wakeup:         trace-cmd:3386 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.626718268: (+7185)  sched_switch:         task_client_A.a:3360 [120] R ==> trace-cmd:3386 [120]
       trace-cmd-3386  [000] 14764.626727416: (+9148)  sched_switch:         trace-cmd:3386 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14764.960267266: (+333539850) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14764.960271507: (+4241)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14764.960283970: (+12463) sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14765.088272914: (+127988944) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14765.088276914: (+4000)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14765.088298192: (+21278) sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14765.472288690: (+383990498) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14765.472292839: (+4149)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14765.472302320: (+9481)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14765.632294190: (+159991870) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14765.632298208: (+4018)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14765.632319542: (+21334) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14765.632339264: (+19722) sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14765.984310003: (+351970739) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14765.984314596: (+4593)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14765.984324096: (+9500)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14766.080314392: (+95990296) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14766.080318818: (+4426)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14766.080329873: (+11055) sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14766.496331094: (+416001221) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14766.496335631: (+4537)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14766.496345372: (+9741)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
