CPU 3 is empty
cpus=4
          stress-3431  [000] 14786.320974981:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3431  [000] 14786.320980926: (+5945)  sched_switch:         stress:3431 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321028481: (+47555) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14786.321042703: (+14222) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321052574: (+9871)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321056685: (+4111)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321066518: (+9833)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321075518: (+9000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321079389: (+3871)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321088426: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321096981: (+8555)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321100722: (+3741)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321119222: (+18500) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321128055: (+8833)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321131926: (+3871)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321140870: (+8944)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321149185: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321152815: (+3630)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321161926: (+9111)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321170389: (+8463)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321174074: (+3685)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321182907: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321191370: (+8463)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321195000: (+3630)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321203815: (+8815)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321212241: (+8426)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321216037: (+3796)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321224907: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321233241: (+8334)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321236833: (+3592)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321251203: (+14370) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321259907: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321263778: (+3871)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321272703: (+8925)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321281018: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321284666: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321293778: (+9112)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321320815: (+27037) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321325037: (+4222)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321334315: (+9278)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321343555: (+9240)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321347407: (+3852)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321356333: (+8926)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321364815: (+8482)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321368426: (+3611)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321377315: (+8889)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321385685: (+8370)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321389241: (+3556)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321403963: (+14722) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321412741: (+8778)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321416722: (+3981)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321425537: (+8815)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321433926: (+8389)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321437629: (+3703)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321446703: (+9074)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321455352: (+8649)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321458944: (+3592)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321467741: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321476148: (+8407)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321479815: (+3667)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321488611: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321496907: (+8296)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321500629: (+3722)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321509407: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321517741: (+8334)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321521352: (+3611)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321535148: (+13796) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321543666: (+8518)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321547352: (+3686)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321558741: (+11389) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321570611: (+11870) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321574407: (+3796)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321583611: (+9204)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321592240: (+8629)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321595852: (+3612)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321604648: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321612963: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321616629: (+3666)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321625481: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321633833: (+8352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321637481: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321646203: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321654500: (+8297)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321658166: (+3666)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321671926: (+13760) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321680815: (+8889)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321684537: (+3722)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321693407: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321701815: (+8408)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321705352: (+3537)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321714389: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321722740: (+8351)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321726389: (+3649)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321735148: (+8759)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321743463: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321747092: (+3629)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321755889: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321764333: (+8444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321767926: (+3593)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
