CPU 3 is empty
cpus=4
 task_client_B.a-3362  [001] 14786.320756129:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.320768241: (+12112) sched_switch:         task_client_B.a:3362 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.320788315: (+20074) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14786.320795426: (+7111)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [001] 14786.320995000: (+199574) sched_switch:         sshd:778 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.321325333: (+330333) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.321348629: (+23296) sched_switch:         task_client_B.a:3362 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14786.321363703: (+15074) sched_switch:         rcu_preempt:13 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.322689111: (+1325408) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.322728926: (+39815) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.322767963: (+39037) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.324978666: (+2210703) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
          stress-3430  [001] 14786.325308370: (+329704) sched_switch:         stress:3430 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.327734407: (+2426037) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.327752278: (+17871) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3433  [001] 14786.327756833: (+4555)  sched_switch:         stress:3433 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14786.327780703: (+23870) sched_switch:         ngrok:515 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.327797703: (+17000) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.328159259: (+361556) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.328504203: (+344944) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.328515259: (+11056) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3428  [001] 14786.328520074: (+4815)  sched_switch:         stress:3428 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.328577666: (+57592) sched_switch:         kworker/u8:1:2871 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.328590352: (+12686) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.328595981: (+5629)  sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.328603037: (+7056)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.329316592: (+713555) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-3427  [001] 14786.329321444: (+4852)  sched_switch:         stress:3427 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14786.329334055: (+12611) sched_switch:         rcu_preempt:13 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.330019203: (+685148) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.330961444: (+942241) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3427  [001] 14786.330964370: (+2926)  sched_switch:         stress:3427 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.331043240: (+78870) sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14786.331054037: (+10797) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.331959722: (+905685) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.331970426: (+10704) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.331981796: (+11370) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.333169722: (+1187926) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
          stress-3430  [001] 14786.333173148: (+3426)  sched_switch:         stress:3430 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.333317703: (+144555) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.333320444: (+2741)  sched_switch:         task_client_B.a:3362 [120] R ==> rcu_preempt:13 [120]
