CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.322818685: (+2043278) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.325307722: (+2489037) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.327640666: (+2332944) sched_switch:         task_server.a:3358 [120] R ==> trace-cmd:3434 [120]
       trace-cmd-3434  [002] 14786.328421926: (+781260) sched_switch:         trace-cmd:3434 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.328981648: (+559722) sched_switch:         task_server.a:3358 [120] R ==> trace-cmd:3435 [120]
       trace-cmd-3435  [002] 14786.329394685: (+413037) sched_switch:         trace-cmd:3435 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.329763907: (+369222) sched_switch:         task_server.a:3358 [120] R ==> trace-cmd:3436 [120]
       trace-cmd-3436  [002] 14786.330061407: (+297500) sched_switch:         trace-cmd:3436 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.330430240: (+368833) sched_switch:         task_server.a:3358 [120] R ==> trace-cmd:3437 [120]
       trace-cmd-3437  [002] 14786.330710074: (+279834) sched_switch:         trace-cmd:3437 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.330897278: (+187204) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.330960407: (+63129) sched_wakeup:         trace-cmd:3435 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.330963148: (+2741)  sched_wakeup:         trace-cmd:3434 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.333308500: (+2345352) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.335507203: (+2198703) sched_switch:         task_server.a:3358 [120] R ==> trace-cmd:3435 [120]
       trace-cmd-3435  [002] 14786.335515259: (+8056)  sched_switch:         trace-cmd:3435 [120] D ==> trace-cmd:3434 [120]
