cpus=4
          <idle>-0     [001] 14812.272499604:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.272507364: (+7760)  sched_switch:         swapper/1:0 [120] R ==> sshd:778 [120]
            sshd-778   [001] 14812.272691456: (+184092) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001] 14812.272699475: (+8019)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.272734753: (+35278) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001] 14812.272758679: (+23926) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001] 14812.272761956: (+3277)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.272773160: (+11204) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001] 14812.272781364: (+8204)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001] 14812.272784567: (+3203)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.272820882: (+36315) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001] 14812.272841308: (+20426) sched_switch:         sshd:778 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.272852827: (+11519) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.272856956: (+4129)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.272872104: (+15148) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.274893086: (+2020982) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.274896919: (+3833)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14812.274910382: (+13463) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.274915419: (+5037)  sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.274918790: (+3371)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14812.274928512: (+9722)  sched_switch:         kworker/1:0:3465 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.286867364: (+11938852) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.286880623: (+13259) sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14812.286889901: (+9278)  sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.290870530: (+3980629) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.290873734: (+3204)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14812.290884178: (+10444) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.319012419: (+28128241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.319017734: (+5315)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14812.319055252: (+37518) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.320101586: (+1046334) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.320106660: (+5074)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14812.320156604: (+49944) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.320166123: (+9519)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.320170604: (+4481)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14812.320196104: (+25500) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.321772697: (+1576593) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.321777123: (+4426)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.321791956: (+14833) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.321800086: (+8130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.321804215: (+4129)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.321813364: (+9149)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.321821030: (+7666)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.321825030: (+4000)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.321853401: (+28371) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.321866160: (+12759) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.321870641: (+4481)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.321890419: (+19778) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.321901104: (+10685) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.321905345: (+4241)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14812.321983123: (+77778) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
