cpus=4
       trace-cmd-3532  [002] 14846.206871531:          sched_switch:         trace-cmd:3532 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.209268512: (+2396981) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.209273216: (+4704)  sched_switch:         stress:3542 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14846.209290308: (+17092) sched_switch:         rcu_preempt:13 [120] W ==> stress:3542 [120]
          stress-3542  [002] 14846.217263031: (+7972723) sched_switch:         stress:3542 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.218409493: (+1146462) sched_switch:         trace-cmd:3547 [120] S ==> trace-cmd:3546 [120]
       trace-cmd-3546  [002] 14846.218940771: (+531278) sched_switch:         trace-cmd:3546 [120] S ==> trace-cmd:3545 [120]
       trace-cmd-3545  [002] 14846.219575512: (+634741) sched_switch:         trace-cmd:3545 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.221266105: (+1690593) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.221275419: (+9314)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.221283308: (+7889)  sched_switch:         stress:3542 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14846.221299623: (+16315) sched_switch:         rcu_preempt:13 [120] W ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.221330234: (+30611) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3542 [120]
          stress-3542  [002] 14846.221621456: (+291222) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.221625919: (+4463)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.221654993: (+29074) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.225276456: (+3621463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.225281290: (+4834)  sched_switch:         stress:3542 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14846.225308919: (+27629) sched_switch:         rcu_preempt:13 [120] W ==> stress:3542 [120]
          stress-3542  [002] 14846.231709086: (+6400167) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.231713364: (+4278)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.231734697: (+21333) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.237251253: (+5516556) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.237257105: (+5852)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.237261253: (+4148)  sched_switch:         stress:3542 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14846.237272012: (+10759) sched_switch:         rcu_preempt:13 [120] W ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.237296512: (+24500) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3542 [120]
          stress-3542  [002] 14846.249265345: (+11968833) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.249271364: (+6019)  sched_switch:         stress:3542 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.249290030: (+18666) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3542 [120]
          stress-3542  [002] 14846.271624345: (+22334315) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.271628178: (+3833)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.271654012: (+25834) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.281709178: (+10055166) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.281713697: (+4519)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.281739641: (+25944) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.321627289: (+39887648) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.321631715: (+4426)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.321674030: (+42315) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.331730345: (+10056315) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.331736882: (+6537)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.331768363: (+31481) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
