cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.765699769: (+8185)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14880.765743843: (+44074) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14880.765761010: (+17167) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.765770843: (+9833)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.765774065: (+3222)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14880.765814177: (+40112) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.765843602: (+29425) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.765847973: (+4371)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14880.765859843: (+11870) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14880.765928399: (+68556) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14880.765944843: (+16444) sched_switch:         ksoftirqd/0:12 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.765953991: (+9148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.765957214: (+3223)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14880.765968436: (+11222) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.769104714: (+3136278) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.769109639: (+4925)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14880.769132232: (+22593) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14880.769158158: (+25926) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14880.769179639: (+21481) sched_switch:         kworker/0:2:3318 [120] D ==> swapper/0:0 [120]
