cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.259387102: (+19500) sched_switch:         stress:3672 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.259419916: (+32814) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.259616416: (+196500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.259619231: (+2815)  sched_switch:         stress:3678 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14905.259665787: (+46556) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14905.259679583: (+13796) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.259689398: (+9815)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.259693528: (+4130)  sched_switch:         stress:3678 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14905.259732528: (+39000) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.259759324: (+26796) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.259762657: (+3333)  sched_switch:         stress:3678 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14905.259778639: (+15982) sched_switch:         kworker/u9:3:569 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.269162324: (+9383685) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [000] 14905.277170324: (+8008000) sched_switch:         stress:3672 [120] R ==> trace-cmd:3685 [120]
       trace-cmd-3685  [000] 14905.277837527: (+667203) sched_switch:         trace-cmd:3685 [120] D ==> stress:3678 [120]
          stress-3678  [000] 14905.279266213: (+1428686) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.279277972: (+11759) sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.279312027: (+34055) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.279349935: (+37908) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3672 [120]
          stress-3672  [000] 14905.279619342: (+269407) sched_wakeup:         trace-cmd:3685 [120]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.279622713: (+3371)  sched_switch:         stress:3672 [120] R ==> trace-cmd:3685 [120]
       trace-cmd-3685  [000] 14905.279965176: (+342463) sched_switch:         trace-cmd:3685 [120] S ==> stress:3672 [120]
          stress-3672  [000] 14905.281572731: (+1607555) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.281578546: (+5815)  sched_switch:         stress:3672 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.281605139: (+26593) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.281629620: (+24481) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.281924046: (+294426) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.281928139: (+4093)  sched_switch:         stress:3678 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.281943435: (+15296) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
