cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.259434416: (+8314)  sched_switch:         stress:3674 [120] R ==> sshd:778 [120]
            sshd-778   [002] 14905.259641213: (+206797) sched_switch:         sshd:778 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14905.259676453: (+35240) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.259680268: (+3815)  sched_switch:         stress:3673 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.259690120: (+9852)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.265182898: (+5492778) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.269166787: (+3983889) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.269172046: (+5259)  sched_switch:         stress:3679 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14905.269182472: (+10426) sched_switch:         rcu_preempt:13 [120] W ==> stress:3679 [120]
          stress-3679  [002] 14905.273161602: (+3979130) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.273166472: (+4870)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.273170453: (+3981)  sched_switch:         stress:3676 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [002] 14905.273178898: (+8445)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3676 [120]
          stress-3676  [002] 14905.275269268: (+2090370) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.275274102: (+4834)  sched_switch:         stress:3676 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.275319546: (+45444) sched_switch:         ngrok:555 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14905.275326509: (+6963)  sched_switch:         stress:3673 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14905.276375805: (+1049296) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
