CPU 3 is empty
cpus=4
 task_client_A.a-2395  [000]  9093.707361901:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.707366808: (+4907)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9093.707412308: (+45500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9093.707425697: (+13389) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.707435327: (+9630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.707439253: (+3926)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9093.707472549: (+33296) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.707499049: (+26500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.707502512: (+3463)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9093.707519104: (+16592) sched_switch:         kworker/u9:3:569 [100] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.721591938: (+14072834) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.721602567: (+10629) sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9093.721610438: (+7871)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.737585271: (+15974833) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.737590845: (+5574)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9093.737609938: (+19093) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:2395 [120]
