CPU 3 is empty
cpus=4
       trace-cmd-2418  [001]  9093.707145290:          sched_switch:         trace-cmd:2418 [120] S ==> trace-cmd:2423 [120]
       trace-cmd-2423  [001]  9093.707734771: (+589481) sched_switch:         trace-cmd:2423 [120] S ==> trace-cmd:2422 [120]
       trace-cmd-2422  [001]  9093.708166586: (+431815) sched_switch:         trace-cmd:2422 [120] S ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9093.733590253: (+25423667) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9093.733594530: (+4277)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9093.733620327: (+25797) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9093.741584975: (+7964648) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9093.741589197: (+4222)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9093.741598123: (+8926)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9093.869554548: (+127956425) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9093.869559048: (+4500)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9093.869585937: (+26889) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9093.869596956: (+11019) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9093.869599641: (+2685)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9093.869611419: (+11778) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9093.965532863: (+95921444) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9093.965536789: (+3926)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9093.965547566: (+10777) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9094.893315767: (+927768201) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9094.893320063: (+4296)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9094.893339563: (+19500) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9094.893346878: (+7315)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9094.893349933: (+3055)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9094.893360526: (+10593) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9094.957301137: (+63940611) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9094.957308396: (+7259)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9094.957316433: (+8037)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9095.917323263: (+960006830) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9095.917327022: (+3759)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9095.917351078: (+24056) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9095.917361022: (+9944)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9095.917364281: (+3259)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9095.917376281: (+12000) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9096.941527592: (+1024151311) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9096.941534685: (+7093)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9096.941554796: (+20111) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9096.941563703: (+8907)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9096.941566370: (+2667)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9096.941576463: (+10093) sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9097.965720829: (+1024144366) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
