CPU 3 is empty
cpus=4
   task_server.a-2393  [002]  9093.707135419:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.707145660: (+10241) sched_switch:         task_server.a:2393 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9093.707167845: (+22185) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9093.707174253: (+6408)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [002]  9093.707383734: (+209481) sched_switch:         sshd:778 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.709619697: (+2235963) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.709624586: (+4889)  sched_switch:         task_server.a:2393 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9093.709640067: (+15481) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.717592993: (+7952926) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.717597216: (+4223)  sched_switch:         task_server.a:2393 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9093.717611030: (+13814) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.751559160: (+33948130) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.751563141: (+3981)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.751601493: (+38352) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.751946271: (+344778) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.751949752: (+3481)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.751966290: (+16538) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.752646586: (+680296) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.752648752: (+2166)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.752652030: (+3278)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.752661604: (+9574)  sched_switch:         ngrok:515 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9093.752689790: (+28186) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9093.752788549: (+98759) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9093.752808067: (+19518) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9093.752821086: (+13019) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9093.752844956: (+23870) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.753992234: (+1147278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.753995827: (+3593)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.754006734: (+10907) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.769581178: (+15574444) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.769586641: (+5463)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9093.769606826: (+20185) sched_switch:         kworker/2:2:2220 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.801882882: (+32276056) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.801886363: (+3481)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.801901382: (+15019) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9093.801916567: (+15185) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9093.801926678: (+10111) sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.801935049: (+8371)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.801938475: (+3426)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.801948308: (+9833)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.804559030: (+2610722) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.804562308: (+3278)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.804571660: (+9352)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.850953067: (+46381407) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.850956419: (+3352)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.850971234: (+14815) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.851922511: (+951277) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.851925678: (+3167)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.851934585: (+8907)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.852019585: (+85000) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.852022660: (+3075)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.852035845: (+13185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9093.852046141: (+10296) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9093.852056826: (+10685) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9093.852064067: (+7241)  sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
