CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.195648741: (+22537) sched_switch:         trace-cmd:2457 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9116.195684315: (+35574) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.197766945: (+2082630) sched_switch:         task_server.a:2393 [120] R ==> trace-cmd:2457 [120]
       trace-cmd-2457  [001]  9116.197835111: (+68166) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.197847037: (+11926) sched_switch:         trace-cmd:2457 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.197877426: (+30389) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.197891334: (+13908) sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [001]  9116.198243722: (+352388) sched_switch:         sshd:778 [120] S ==> trace-cmd:2457 [120]
       trace-cmd-2457  [001]  9116.198249889: (+6167)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.198254445: (+4556)  sched_switch:         trace-cmd:2457 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.198260111: (+5666)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.198263945: (+3834)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [001]  9116.198321945: (+58000) sched_switch:         sshd:778 [120] S ==> trace-cmd:2457 [120]
       trace-cmd-2457  [001]  9116.198355408: (+33463) sched_switch:         trace-cmd:2457 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.203587815: (+5232407) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.203954667: (+366852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.203958908: (+4241)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.203979704: (+20796) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.207590371: (+3610667) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.207595278: (+4907)  sched_switch:         task_server.a:2393 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9116.207612019: (+16741) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.208169074: (+557055) sched_switch:         task_server.a:2393 [120] R ==> trace-cmd:2469 [120]
       trace-cmd-2469  [001]  9116.209175185: (+1006111) sched_switch:         trace-cmd:2469 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.210476537: (+1301352) sched_switch:         task_server.a:2393 [120] R ==> trace-cmd:2470 [120]
       trace-cmd-2470  [001]  9116.210991741: (+515204) sched_switch:         trace-cmd:2470 [120] S ==> trace-cmd:2471 [120]
