CPU 3 is empty
cpus=4
          stress-2461  [002]  9116.199605241:          sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.203280611: (+3675370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.203285871: (+5260)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.203331148: (+45277) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.204375389: (+1044241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.204379130: (+3741)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.204410722: (+31592) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.204434019: (+23297) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.204455722: (+21703) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.204470556: (+14834) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.204496482: (+25926) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.204724111: (+227629) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.207587648: (+2863537) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.210927741: (+3340093) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.211605278: (+677537) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          stress-2465  [002]  9116.211614482: (+9204)  sched_switch:         stress:2465 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9116.211639556: (+25074) sched_switch:         kworker/2:1:2180 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.212430611: (+791055) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.215593222: (+3162611) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.219275833: (+3682611) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.219295037: (+19204) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.219315389: (+20352) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.219329722: (+14333) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
          stress-2461  [002]  9116.223610093: (+4280371) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.227596685: (+3986592) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.227601704: (+5019)  sched_switch:         task_client_A.a:2395 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9116.227621148: (+19444) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.228354019: (+732871) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.228360870: (+6851)  sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.228373296: (+12426) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.231590556: (+3217260) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.234989482: (+3398926) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.235589259: (+599777) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2465  [002]  9116.235593352: (+4093)  sched_switch:         stress:2465 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9116.235604537: (+11185) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.236220426: (+615889) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.236583500: (+363074) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
          stress-2465  [002]  9116.239587000: (+3003500) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.242889611: (+3302611) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.242952870: (+63259) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.243016852: (+63982) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.243172889: (+156037) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.243175704: (+2815)  sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.243325630: (+149926) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.243334926: (+9296)  sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.243346315: (+11389) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.247595167: (+4248852) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.249108204: (+1513037) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.251739074: (+2630870) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.251794352: (+55278) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.251845444: (+51092) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.253552648: (+1707204) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2461  [002]  9116.253561833: (+9185)  sched_switch:         stress:2461 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.253614167: (+52334) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.254656389: (+1042222) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.254660000: (+3611)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.254686481: (+26481) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.254709759: (+23278) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.254726815: (+17056) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.255273407: (+546592) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.259586056: (+4312649) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.259797667: (+211611) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.263462463: (+3664796) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.263474852: (+12389) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.263486204: (+11352) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.267612204: (+4126000) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.271174148: (+3561944) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.273796500: (+2622352) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.273799833: (+3333)  sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.275995852: (+2196019) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.276054963: (+59111) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.276103055: (+48092) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.279596315: (+3493260) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.280154185: (+557870) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.282431667: (+2277482) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.282452426: (+20759) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.282469907: (+17481) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.287606333: (+5136426) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.291684296: (+4077963) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.295596981: (+3912685) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.298686963: (+3089982) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.303587648: (+4900685) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.303763333: (+175685) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.303767907: (+4574)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.303812574: (+44667) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.304856870: (+1044296) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.304860722: (+3852)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.304888833: (+28111) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.304911278: (+22445) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.304932741: (+21463) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.304947074: (+14333) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.304973389: (+26315) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
