CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.195648741: (+22537) sched_switch:         trace-cmd:2457 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9116.195684315: (+35574) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.197766945: (+2082630) sched_switch:         task_server.a:2393 [120] R ==> trace-cmd:2457 [120]
       trace-cmd-2457  [001]  9116.197835111: (+68166) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.197847037: (+11926) sched_switch:         trace-cmd:2457 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.197877426: (+30389) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.197891334: (+13908) sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
          stress-2464  [000]  9116.198218130: (+326796) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2464  [000]  9116.198230852: (+12722) sched_switch:         stress:2464 [120] R ==> kworker/u9:3:569 [100]
            sshd-778   [001]  9116.198243722: (+12870) sched_switch:         sshd:778 [120] S ==> trace-cmd:2457 [120]
       trace-cmd-2457  [001]  9116.198249889: (+6167)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2457  [001]  9116.198254445: (+4556)  sched_switch:         trace-cmd:2457 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.198260111: (+5666)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.198263945: (+3834)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
    kworker/u9:3-569   [000]  9116.198311371: (+47426) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
            sshd-778   [001]  9116.198321945: (+10574) sched_switch:         sshd:778 [120] S ==> trace-cmd:2457 [120]
 task_client_B.a-2397  [000]  9116.198326926: (+4981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198331741: (+4815)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198342982: (+11241) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198352611: (+9629)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2457  [001]  9116.198355408: (+2797)  sched_switch:         trace-cmd:2457 [120] S ==> stress:2466 [120]
 task_client_B.a-2397  [000]  9116.198356482: (+1074)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198365834: (+9352)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198374759: (+8925)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
