cpus=4
          <idle>-0     [000]  9142.037082735:          sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.037088235: (+5500)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.037109328: (+21093) sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.037131253: (+21925) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.037135161: (+3908)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.037150179: (+15018) sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.037215828: (+65649) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.037219105: (+3277)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.037225179: (+6074)  sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.037276050: (+50871) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.037279420: (+3370)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.037297513: (+18093) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.037325013: (+27500) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.037348531: (+23518) sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.037357198: (+8667)  sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.037360365: (+3167)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.037373902: (+13537) sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.038970865: (+1596963) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.038986365: (+15500) sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.039006679: (+20314) sched_wakeup:         trace-cmd:2530 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.039014976: (+8297)  sched_switch:         kworker/0:1:2177 [120] W ==> trace-cmd:2530 [120]
       trace-cmd-2530  [000]  9142.039021957: (+6981)  sched_switch:         trace-cmd:2530 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.040216883: (+1194926) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.040221253: (+4370)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.040241179: (+19926) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.040266124: (+24945) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.040286698: (+20574) sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.040295050: (+8352)  sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.040298124: (+3074)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.040310068: (+11944) sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.054131420: (+13821352) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.054135365: (+3945)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.054157272: (+21907) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.058957753: (+4800481) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.058963216: (+5463)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9142.058971346: (+8130)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.078954420: (+19983074) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.078958883: (+4463)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9142.078976920: (+18037) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.078989031: (+12111) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.078992420: (+3389)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9142.078999179: (+6759)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.104299661: (+25300482) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.104304142: (+4481)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.104331531: (+27389) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.153495438: (+49163907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.153499938: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.153509586: (+9648)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.203673049: (+50163463) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.203678753: (+5704)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.203707901: (+29148) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.253874975: (+50167074) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.253879530: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.253889049: (+9519)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.304055067: (+50166018) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.304061012: (+5945)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.304086104: (+25092) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.354254197: (+50168093) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.354259345: (+5148)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.354268845: (+9500)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.403407585: (+49138740) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.403412530: (+4945)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.403433456: (+20926) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.453622344: (+50188888) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.453627159: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.453641252: (+14093) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.503782974: (+50141722) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.503787400: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.503810659: (+23259) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.554002677: (+50192018) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.554007492: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.554023677: (+16185) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.604160474: (+50136797) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.604164974: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.604187936: (+22962) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.653286103: (+49098167) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.653290862: (+4759)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.653299918: (+9056)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.703465955: (+50166037) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.703470492: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.703496992: (+26500) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.753662436: (+50165444) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.753666936: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
