cpus=4
           <...>-2531  [002]  9142.036972161:          sched_switch:         trace-cmd:2531 [120] S ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.037561828: (+589667) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.039000365: (+1438537) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.039004976: (+4611)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.039019161: (+14185) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.053321439: (+14302278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.053325827: (+4388)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.053345550: (+19723) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.062957790: (+9612240) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.062967346: (+9556)  sched_switch:         swapper/2:0 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9142.062981402: (+14056) sched_switch:         kcompactd0:43 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.063394013: (+412611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.063399124: (+5111)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.063409364: (+10240) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.103320550: (+39911186) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.103325364: (+4814)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.103334420: (+9056)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.113384920: (+10050500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.113389549: (+4629)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.113398031: (+8482)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.126956012: (+13557981) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.126967753: (+11741) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.126991346: (+23593) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.153315660: (+26324314) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.153320716: (+5056)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.153330457: (+9741)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.159143642: (+5813185) sched_wakeup:         trace-cmd:2532 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.159148272: (+4630)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.163308438: (+4160166) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.163386846: (+78408) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.163394975: (+8129)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.163418975: (+24000) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.203316808: (+39897833) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.203322068: (+5260)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.203333475: (+11407) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.213383790: (+10050315) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.213388679: (+4889)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.213396494: (+7815)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
