cpus=4
       trace-cmd-2669  [000]  9208.304947649:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2669  [000]  9208.304955945: (+8296)  sched_switch:         trace-cmd:2669 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9208.305004519: (+48574) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9208.305018927: (+14408) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2669 [120]
       trace-cmd-2669  [000]  9208.305028945: (+10018) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2669  [000]  9208.305033075: (+4130)  sched_switch:         trace-cmd:2669 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9208.305070815: (+37740) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2669 [120]
       trace-cmd-2669  [000]  9208.305099001: (+28186) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2669  [000]  9208.305103649: (+4648)  sched_switch:         trace-cmd:2669 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9208.305115464: (+11815) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9208.305182427: (+66963) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9208.305196130: (+13703) sched_switch:         ksoftirqd/0:12 [120] S ==> trace-cmd:2669 [120]
       trace-cmd-2669  [000]  9208.305206908: (+10778) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2669  [000]  9208.305210927: (+4019)  sched_switch:         trace-cmd:2669 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9208.305222501: (+11574) sched_switch:         kworker/u9:3:569 [100] W ==> trace-cmd:2669 [120]
       trace-cmd-2669  [000]  9208.305376093: (+153592) sched_switch:         trace-cmd:2669 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.305558667: (+182574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.305565186: (+6519)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.305589167: (+23981) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.317930649: (+12341482) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.317935852: (+5203)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9208.317957945: (+22093) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9208.317984445: (+26500) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9208.318005427: (+20982) sched_switch:         kworker/0:1:2177 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.318013815: (+8388)  sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.318016908: (+3093)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9208.318022223: (+5315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9208.318028260: (+6037)  sched_switch:         kworker/0:1:2177 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9208.318033649: (+5389)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2177 [120]
