cpus=4
       trace-cmd-2670  [001]  9208.305195390:          sched_switch:         trace-cmd:2670 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9208.307144093: (+1948703) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9208.307149667: (+5574)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9208.307163834: (+14167) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9208.315122501: (+7958667) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9208.315130001: (+7500)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9208.315143001: (+13000) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9208.455122408: (+139979407) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9208.455130945: (+8537)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9208.455159759: (+28814) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9208.455167945: (+8186)  sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9208.455172111: (+4166)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9208.455183408: (+11297) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9209.415028515: (+959845107) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9209.415033311: (+4796)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9209.415042071: (+8760)  sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9209.478966589: (+63924518) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9209.478978848: (+12259) sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9209.479006626: (+27778) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9209.479018163: (+11537) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9209.479022255: (+4092)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9209.479033459: (+11204) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9210.502954196: (+1023920737) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9210.502962289: (+8093)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9210.502980640: (+18351) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9210.502988789: (+8149)  sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9210.502992974: (+4185)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9210.503003733: (+10759) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9211.034302990: (+531299257) sched_wakeup:         trace-cmd:2670 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9211.034307564: (+4574)  sched_switch:         swapper/1:0 [120] R ==> trace-cmd:2670 [120]
       trace-cmd-2670  [001]  9211.034744101: (+436537) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2670  [001]  9211.038376620: (+3632519) sched_switch:         trace-cmd:2670 [120] S ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9211.038407027: (+30407) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9211.526667192: (+488260165) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9211.526675729: (+8537)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9211.526704229: (+28500) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9211.526716285: (+12056) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9211.526720970: (+4685)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9211.526733266: (+12296) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9212.262666874: (+735933608) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9212.262675837: (+8963)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9212.262683671: (+7834)  sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9212.550521077: (+287837406) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9212.550528707: (+7630)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9212.550545522: (+16815) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9212.550553299: (+7777)  sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9212.550557447: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9212.550567429: (+9982)  sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.574380240: (+1023812811) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9213.574388388: (+8148)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9213.574409332: (+20944) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.574419610: (+10278) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9213.574423721: (+4111)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9213.574433388: (+9667)  sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.765015128: (+190581740) sched_wakeup:         trace-cmd:2670 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9213.765020017: (+4889)  sched_switch:         swapper/1:0 [120] R ==> trace-cmd:2670 [120]
       trace-cmd-2670  [001]  9213.768995924: (+3975907) sched_switch:         trace-cmd:2670 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9214.598235236: (+829239312) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9214.598244736: (+9500)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9214.598274588: (+29852) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
