cpus=4
          stress-2707  [001]  9231.160330321:          sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.160334506: (+4185)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.166749358: (+6414852) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.174749710: (+8000352) sched_switch:         stress:2716 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.178768599: (+4018889) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.178772950: (+4351)  sched_switch:         stress:2707 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.178784247: (+11297) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2714 [120]
          stress-2714  [001]  9231.178802043: (+17796) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.183918969: (+5116926) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.183923136: (+4167)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.184009987: (+86851) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.184016284: (+6297)  sched_switch:         stress:2714 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.184023173: (+6889)  sched_switch:         kworker/1:1H:91 [100] W ==> stress:2714 [120]
          stress-2714  [001]  9231.184052191: (+29018) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.184074525: (+22334) sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.186156339: (+2081814) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.186162895: (+6556)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.186170969: (+8074)  sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.186181413: (+10444) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.186296006: (+114593) sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.186299080: (+3074)  sched_switch:         stress:2713 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9231.186305265: (+6185)  sched_switch:         kworker/u8:1:2244 [120] W ==> stress:2716 [120]
          stress-2716  [001]  9231.186309747: (+4482)  sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.186312191: (+2444)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.186331913: (+19722) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.186350728: (+18815) sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.189246765: (+2896037) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.189249858: (+3093)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.189257969: (+8111)  sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.189262117: (+4148)  sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.189267358: (+5241)  sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.194066747: (+4799389) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.194069562: (+2815)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.194076950: (+7388)  sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.194086469: (+9519)  sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.194095728: (+9259)  sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.194108062: (+12334) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.194110302: (+2240)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.194120358: (+10056) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.194134932: (+14574) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.194137043: (+2111)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.194142654: (+5611)  sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.194167821: (+25167) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.194179691: (+11870) sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.194190987: (+11296) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.194193099: (+2112)  sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.194218173: (+25074) sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.194779395: (+561222) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.194789580: (+10185) sched_switch:         stress:2713 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.194830265: (+40685) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.194843969: (+13704) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.194846284: (+2315)  sched_switch:         stress:2713 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.194854469: (+8185)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2713 [120]
          stress-2713  [001]  9231.206763599: (+11909130) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.206852691: (+89092) sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.206855839: (+3148)  sched_switch:         stress:2707 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9231.206862450: (+6611)  sched_switch:         kworker/u8:1:2244 [120] W ==> stress:2707 [120]
          stress-2707  [001]  9231.211455358: (+4592908) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.211458561: (+3203)  sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.211461487: (+2926)  sched_switch:         stress:2707 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.211544969: (+83482) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.211550376: (+5407)  sched_switch:         stress:2716 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.211598950: (+48574) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2714 [120]
          stress-2714  [001]  9231.211612765: (+13815) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.211644247: (+31482) sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.216881098: (+5236851) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.216886080: (+4982)  sched_switch:         stress:2707 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.216904858: (+18778) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2707 [120]
          stress-2707  [001]  9231.216910228: (+5370)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.216916784: (+6556)  sched_switch:         stress:2707 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.216941210: (+24426) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9231.216961765: (+20555) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9231.216997154: (+35389) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9231.217011284: (+14130) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2716 [120]
          stress-2716  [001]  9231.217019858: (+8574)  sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.218991302: (+1971444) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.218994839: (+3537)  sched_switch:         stress:2707 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.219018413: (+23574) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2713 [120]
          stress-2713  [001]  9231.219025913: (+7500)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.219029710: (+3797)  sched_switch:         stress:2713 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9231.219048969: (+19259) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9231.219063265: (+14296) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9231.219089080: (+25815) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9231.219098173: (+9093)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2716 [120]
          stress-2716  [001]  9231.219105876: (+7703)  sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.221092358: (+1986482) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.221101821: (+9463)  sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.221119969: (+18148) sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.221141191: (+21222) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.221143821: (+2630)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.221163969: (+20148) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.221196191: (+32222) sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.221200895: (+4704)  sched_switch:         stress:2714 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9231.221206932: (+6037)  sched_switch:         kworker/u8:1:2244 [120] W ==> stress:2716 [120]
          stress-2716  [001]  9231.221225487: (+18555) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9231.221242321: (+16834) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.226766043: (+5523722) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.230769302: (+4003259) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.230772895: (+3593)  sched_switch:         stress:2716 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.230781895: (+9000)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2716 [120]
          stress-2716  [001]  9231.238764413: (+7982518) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.246778617: (+8014204) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.246792580: (+13963) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.246798543: (+5963)  sched_switch:         stress:2707 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.246834172: (+35629) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.246853006: (+18834) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.246855709: (+2703)  sched_switch:         stress:2707 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9231.246863932: (+8223)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2707 [120]
          stress-2707  [001]  9231.254773876: (+7909944) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.262769950: (+7996074) sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.270773858: (+8003908) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.270781469: (+7611)  sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.278781746: (+8000277) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.286780654: (+7998908) sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.286824617: (+43963) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.286828006: (+3389)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.294779635: (+7951629) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.294800283: (+20648) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9231.302782598: (+7982315) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.302789783: (+7185)  sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.302792654: (+2871)  sched_switch:         stress:2707 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.302835228: (+42574) sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9231.310788691: (+7953463) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.318790154: (+8001463) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.318826117: (+35963) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.318829394: (+3277)  sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.330800339: (+11970945) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.338791135: (+7990796) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.346802431: (+8011296) sched_switch:         stress:2716 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.354793802: (+7991371) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.362800413: (+8006611) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.370799116: (+7998703) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.378811209: (+8012093) sched_switch:         stress:2716 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9231.386807876: (+7996667) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.394809672: (+8001796) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.394838746: (+29074) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.394900394: (+61648) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.394903783: (+3389)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.394930190: (+26407) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.394953894: (+23704) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.394957283: (+3389)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.396134950: (+1177667) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9231.396149839: (+14889) sched_switch:         stress:2716 [120] D ==> stress:2707 [120]
