cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.160306432: (+12833) sched_switch:         stress:2710 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.160328080: (+21648) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9231.160335247: (+7167)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [002]  9231.160347302: (+12055) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
            sshd-778   [002]  9231.160546728: (+199426) sched_switch:         sshd:778 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.162794228: (+2247500) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.162798302: (+4074)  sched_switch:         stress:2711 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.162813525: (+15223) sched_switch:         rcu_preempt:13 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.166750802: (+3937277) sched_switch:         stress:2711 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.170770543: (+4019741) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.170778525: (+7982)  sched_switch:         stress:2709 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.170794450: (+15925) sched_switch:         rcu_preempt:13 [120] W ==> stress:2710 [120]
          stress-2710  [002]  9231.174748784: (+3954334) sched_switch:         stress:2710 [120] R ==> trace-cmd:2719 [120]
       trace-cmd-2719  [002]  9231.175582876: (+834092) sched_switch:         trace-cmd:2719 [120] S ==> trace-cmd:2720 [120]
       trace-cmd-2720  [002]  9231.176186321: (+603445) sched_switch:         trace-cmd:2720 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.176207654: (+21333) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.176213265: (+5611)  sched_switch:         stress:2711 [120] R ==> kworker/u8:2:2035 [120]
