cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.160306432: (+12833) sched_switch:         stress:2710 [120] R ==> kworker/u8:2:2035 [120]
       trace-cmd-2705  [000]  9231.160313395: (+6963)  sched_switch:         trace-cmd:2705 [120] S ==> stress:2708 [120]
    kworker/u8:2-2035  [002]  9231.160328080: (+14685) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-2707  [001]  9231.160330321: (+2241)  sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9231.160334506: (+4185)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
    kworker/u8:2-2035  [002]  9231.160335247: (+741)   sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [002]  9231.160347302: (+12055) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2614  [003]  9231.160485302: (+138000) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.160500636: (+15334) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.160513265: (+12629) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
          stress-2708  [000]  9231.160524654: (+11389) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160529469: (+4815)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
            sshd-778   [002]  9231.160546728: (+17259) sched_switch:         sshd:778 [120] S ==> stress:2711 [120]
    kworker/u9:3-569   [000]  9231.160575506: (+28778) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9231.160588951: (+13445) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160598728: (+9777)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160603358: (+4630)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160613117: (+9759)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160622043: (+8926)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160626413: (+4370)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160635747: (+9334)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160644543: (+8796)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160648747: (+4204)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160667506: (+18759) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160676654: (+9148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160680988: (+4334)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160690265: (+9277)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160699117: (+8852)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160703191: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160712747: (+9556)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160721469: (+8722)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160725617: (+4148)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160734617: (+9000)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160743451: (+8834)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160747525: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160756562: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160765580: (+9018)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160769654: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160778636: (+8982)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160787228: (+8592)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160791302: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160805617: (+14315) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160814413: (+8796)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160818525: (+4112)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160828117: (+9592)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160836784: (+8667)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160840951: (+4167)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160850413: (+9462)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.160859210: (+8797)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.160863284: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.160872339: (+9055)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
