CPU 3 is empty
cpus=4
 task_client_A.a-2963  [001] 14461.505053850:          sched_wakeup:         trace-cmd:2988 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.505060702: (+6852)  sched_switch:         task_client_A.a:2963 [120] R ==> trace-cmd:2988 [120]
       trace-cmd-2988  [001] 14461.505069146: (+8444)  sched_switch:         trace-cmd:2988 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14461.557026387: (+51957241) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.557030628: (+4241)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14461.557057442: (+26814) sched_switch:         kworker/1:2:2867 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14461.557066498: (+9056)  sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.557069479: (+2981)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14461.557081165: (+11686) sched_switch:         kworker/1:2:2867 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14461.657070109: (+99988944) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.657074331: (+4222)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14461.657098127: (+23796) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14461.767311108: (+110212981) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.767314682: (+3574)  sched_switch:         task_client_A.a:2963 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [001] 14461.767479997: (+165315) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
