CPU 3 is empty
cpus=4
       trace-cmd-2986  [002] 14461.426516943:          sched_switch:         trace-cmd:2986 [120] S ==> trace-cmd:2991 [120]
       trace-cmd-2991  [002] 14461.427094721: (+577778) sched_switch:         trace-cmd:2991 [120] S ==> trace-cmd:2990 [120]
       trace-cmd-2990  [002] 14461.427515961: (+421240) sched_switch:         trace-cmd:2990 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.428995091: (+1479130) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.428998684: (+3593)  sched_switch:         task_server.a:2961 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14461.429014554: (+15870) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.436974313: (+7959759) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.436978609: (+4296)  sched_switch:         task_server.a:2961 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14461.436992554: (+13945) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.448979369: (+11986815) sched_wakeup:         kworker/2:0:2873 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.448983628: (+4259)  sched_switch:         task_server.a:2961 [120] R ==> kworker/2:0:2873 [120]
     kworker/2:0-2873  [002] 14461.449007221: (+23593) sched_switch:         kworker/2:0:2873 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.455344517: (+6337296) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.455348554: (+4037)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.455367869: (+19315) sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.456982443: (+1614574) sched_wakeup:         kworker/2:0:2873 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.456986646: (+4203)  sched_switch:         task_server.a:2961 [120] R ==> kworker/2:0:2873 [120]
     kworker/2:0-2873  [002] 14461.456996980: (+10334) sched_switch:         kworker/2:0:2873 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.465421480: (+8424500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.465424739: (+3259)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.465436795: (+12056) sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.505366535: (+39929740) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.505369906: (+3371)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.505379868: (+9962)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.515433350: (+10053482) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.515436461: (+3111)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.515446239: (+9778)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.555386183: (+39939944) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.555389831: (+3648)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.555400257: (+10426) sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.565029479: (+9629222) sched_wakeup:         kworker/2:0:2873 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.565034794: (+5315)  sched_switch:         task_server.a:2961 [120] R ==> kworker/2:0:2873 [120]
     kworker/2:0-2873  [002] 14461.565053979: (+19185) sched_switch:         kworker/2:0:2873 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14461.565454757: (+400778) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
