CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3035  [001] 14483.547277044: (+12963) sched_switch:         stress:3035 [120] R ==> kworker/u8:2:2863 [120]
       trace-cmd-3025  [002] 14483.547282692: (+5648)  sched_switch:         trace-cmd:3025 [120] S ==> task_server.a:2961 [120]
    kworker/u8:2-2863  [001] 14483.547297525: (+14833) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2863  [001] 14483.547304488: (+6963)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
          stress-3034  [000] 14483.547483636: (+179148) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3034  [000] 14483.547490192: (+6556)  sched_switch:         stress:3034 [120] R ==> kworker/u9:3:569 [100]
            sshd-778   [001] 14483.547507266: (+17074) sched_switch:         sshd:778 [120] S ==> task_client_A.a:2963 [120]
    kworker/u9:3-569   [000] 14483.547535692: (+28426) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14483.547549229: (+13537) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.547558877: (+9648)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.547563173: (+4296)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14483.547597414: (+34241) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.547624618: (+27204) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.547628544: (+3926)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14483.547642692: (+14148) sched_switch:         kworker/u9:3:569 [100] W ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14483.547879507: (+236815) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.547883395: (+3888)  sched_switch:         task_client_A.a:2963 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14483.547897858: (+14463) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.548567710: (+669852) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3031 [120]
 task_client_B.a-2965  [000] 14483.548577025: (+9315)  sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
   task_server.a-2961  [002] 14483.549847803: (+1270778) sched_switch:         task_server.a:2961 [120] R ==> stress:3029 [120]
          stress-3031  [001] 14483.551881062: (+2033259) sched_switch:         stress:3031 [120] R ==> task_client_A.a:2963 [120]
          stress-3034  [000] 14483.551881081: (+19)    sched_switch:         stress:3034 [120] R ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14483.553439340: (+1558259) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3036 [120]
 task_client_B.a-2965  [000] 14483.555620432: (+2181092) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3036  [001] 14483.555884266: (+263834) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-3029  [002] 14483.555886210: (+1944)  sched_switch:         stress:3029 [120] R ==> task_server.a:2961 [120]
          stress-3036  [001] 14483.555890321: (+4111)  sched_switch:         stress:3036 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14483.555906618: (+16297) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.557549377: (+1642759) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3032 [120]
          stress-3034  [000] 14483.559881081: (+2331704) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3032  [001] 14483.559883173: (+2092)  sched_switch:         stress:3032 [120] R ==> task_client_A.a:2963 [120]
          stress-3034  [000] 14483.559890747: (+7574)  sched_switch:         stress:3034 [120] R ==> brcmf_wdog/mmc1:237 [120]
 task_client_A.a-2963  [001] 14483.559891358: (+611)   sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.559894858: (+3500)  sched_switch:         task_client_A.a:2963 [120] R ==> rcu_preempt:13 [120]
 brcmf_wdog/mmc1-237   [000] 14483.559903321: (+8463)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
     rcu_preempt-13    [001] 14483.559906432: (+3111)  sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.561448655: (+1542223) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3028 [120]
 task_client_B.a-2965  [000] 14483.562128784: (+680129) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.562133303: (+4519)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:517 [120]
           ngrok-517   [000] 14483.562176692: (+43389) sched_switch:         ngrok:517 [120] S ==> task_client_B.a:2965 [120]
          stress-3028  [001] 14483.562228932: (+52240) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3028  [001] 14483.562233729: (+4797)  sched_switch:         stress:3028 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562257155: (+23426) sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562326229: (+69074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562329858: (+3629)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562339729: (+9871)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562410247: (+70518) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562413488: (+3241)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562421988: (+8500)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562492099: (+70111) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562495581: (+3482)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562503784: (+8203)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562573858: (+70074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562577655: (+3797)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562585840: (+8185)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562656488: (+70648) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562660173: (+3685)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562668414: (+8241)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562738432: (+70018) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562742210: (+3778)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562750340: (+8130)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562820895: (+70555) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.562824432: (+3537)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562832636: (+8204)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562862414: (+29778) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3027 [120]
          stress-3027  [001] 14483.562902895: (+40481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3027  [001] 14483.562906840: (+3945)  sched_switch:         stress:3027 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562915303: (+8463)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.562945062: (+29759) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3033 [120]
          stress-3033  [001] 14483.562985895: (+40833) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3033  [001] 14483.562989377: (+3482)  sched_switch:         stress:3033 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.562998062: (+8685)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.563027525: (+29463) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3027 [120]
          stress-3027  [001] 14483.563068321: (+40796) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3027  [001] 14483.563071488: (+3167)  sched_switch:         stress:3027 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.563079692: (+8204)  sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
