cpus=4
       trace-cmd-3101  [000] 14509.398985723:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14509.398994982: (+9259)  sched_switch:         trace-cmd:3101 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.399046760: (+51778) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14509.399060352: (+13592) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.399070186: (+9834)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14509.399074389: (+4203)  sched_switch:         trace-cmd:3101 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.399109797: (+35408) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.399137964: (+28167) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14509.399142019: (+4055)  sched_switch:         trace-cmd:3101 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.399152982: (+10963) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14509.399215593: (+62611) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14509.399229038: (+13445) sched_switch:         ksoftirqd/0:12 [120] S ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.399239612: (+10574) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14509.399243519: (+3907)  sched_switch:         trace-cmd:3101 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.399254556: (+11037) sched_switch:         kworker/u9:3:569 [100] W ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.399431482: (+176926) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.401099056: (+1667574) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.401103075: (+4019)  sched_switch:         swapper/0:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000] 14509.401117575: (+14500) sched_switch:         rcu_preempt:13 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.401129426: (+11851) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.401134556: (+5130)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401156389: (+21833) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401182575: (+26186) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401203704: (+21129) sched_switch:         kworker/0:0:2872 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.401212130: (+8426)  sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.401215260: (+3130)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401220630: (+5370)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401226445: (+5815)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.401231908: (+5463)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401235649: (+3741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401237852: (+2203)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.401263278: (+25426) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401276167: (+12889) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401279815: (+3648)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.401297982: (+18167) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401309704: (+11722) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401313167: (+3463)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.401383204: (+70037) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401396741: (+13537) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.401400278: (+3537)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14509.401408464: (+8186)  sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.401414538: (+6074)  sched_switch:         kworker/0:0:2872 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.413075001: (+11660463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.413079723: (+4722)  sched_switch:         swapper/0:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000] 14509.413089556: (+9833)  sched_switch:         rcu_preempt:13 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.417075945: (+3986389) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.417085167: (+9222)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14509.417092723: (+7556)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000] 14509.417103241: (+10518) sched_switch:         rcu_preempt:13 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.433079112: (+15975871) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.433088649: (+9537)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14509.433108241: (+19592) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.433120352: (+12111) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.433123537: (+3185)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14509.433130593: (+7056)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.516719796: (+83589203) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.520895833: (+4176037) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.601118944: (+80223111) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.601138407: (+19463) sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14509.601166166: (+27759) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14509.601193055: (+26889) sched_switch:         kworker/0:0:2872 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.639318703: (+38125648) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.643473759: (+4155056) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.761987758: (+118513999) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.766197962: (+4210204) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.768475629: (+2277667) sched_wakeup:         trace-cmd:3099 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.768481166: (+5537)  sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3099 [120]
       trace-cmd-3099  [000] 14509.768490740: (+9574)  sched_switch:         trace-cmd:3099 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.867945480: (+99454740) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.867951795: (+6315)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.868003684: (+51889) sched_switch:         ngrok:555 [120] S ==> trace-cmd:3098 [120]
       trace-cmd-3098  [000] 14509.868016758: (+13074) sched_switch:         trace-cmd:3098 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.868048499: (+31741) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.868052888: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.868061295: (+8407)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.884750962: (+16689667) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.888906462: (+4155500) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.918110239: (+29203777) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.918116554: (+6315)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.918137536: (+20982) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.968277924: (+50140388) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.968282332: (+4408)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.968312591: (+30259) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.007375813: (+39063222) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.011646461: (+4270648) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.018505109: (+6858648) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.018511035: (+5926)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.018530998: (+19963) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.067665183: (+49134185) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.067669998: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.067697257: (+27259) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.117870461: (+50173204) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.117875109: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.117883720: (+8611)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.130174127: (+12290407) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.133237461: (+3063334) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14510.133264201: (+26740) sched_switch:         trace-cmd:3101 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14510.133303757: (+39556) sched_switch:         kworker/0:0:2872 [120] W ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.134538016: (+1234259) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.168052535: (+33514519) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.168058498: (+5963)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.168095664: (+37166) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.218259053: (+50163389) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
