cpus=4
          stress-3142  [001] 14544.346176071:          sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.346190052: (+13981) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.346225589: (+35537) sched_switch:         kworker/1:1H:91 [100] R ==> trace-cmd:3149 [120]
       trace-cmd-3149  [001] 14544.346234330: (+8741)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
       trace-cmd-3149  [001] 14544.346238904: (+4574)  sched_switch:         trace-cmd:3149 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.346260441: (+21537) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.346312830: (+52389) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.346338275: (+25445) sched_switch:         ksoftirqd/1:18 [120] S ==> trace-cmd:3149 [120]
       trace-cmd-3149  [001] 14544.347229238: (+890963) sched_switch:         trace-cmd:3149 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.358553238: (+11324000) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.358559626: (+6388)  sched_switch:         stress:3142 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14544.358573441: (+13815) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.359439960: (+866519) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.359446219: (+6259)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.359474312: (+28093) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.359478404: (+4092)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.359481830: (+3426)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.359504460: (+22630) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.359546589: (+42129) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.359570775: (+24186) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.365981663: (+6410888) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.365990349: (+8686)  sched_switch:         stress:3142 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14544.366040015: (+49666) sched_switch:         ngrok:517 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.372699312: (+6659297) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.372711293: (+11981) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.372752330: (+41037) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.372759275: (+6945)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.372762812: (+3537)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.372785682: (+22870) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.372837849: (+52167) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.372864849: (+27000) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.374585515: (+1720666) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.374591738: (+6223)  sched_switch:         stress:3142 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14544.374630719: (+38981) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:3142 [120]
          stress-3142  [001] 14544.374649349: (+18630) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.374652367: (+3018)  sched_switch:         stress:3142 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14544.374661089: (+8722)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.385977034: (+11315945) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
