cpus=4
          stress-3139  [002] 14544.346612275:          sched_switch:         stress:3139 [120] R ==> stress:3143 [120]
          stress-3143  [002] 14544.354530238: (+7917963) sched_switch:         stress:3143 [120] R ==> stress:3140 [120]
          stress-3140  [002] 14544.362527052: (+7996814) sched_switch:         stress:3140 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.364774182: (+2247130) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.364782367: (+8185)  sched_switch:         stress:3145 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.364853423: (+71056) sched_switch:         ngrok:555 [120] S ==> stress:3139 [120]
          stress-3139  [002] 14544.364899571: (+46148) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3139  [002] 14544.364906219: (+6648)  sched_switch:         stress:3139 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14544.364931052: (+24833) sched_switch:         ngrok:515 [120] S ==> stress:3139 [120]
          stress-3139  [002] 14544.365899849: (+968797) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3139  [002] 14544.365914441: (+14592) sched_switch:         stress:3139 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.366001441: (+87000) sched_switch:         ngrok:555 [120] S ==> stress:3139 [120]
          stress-3139  [002] 14544.366027552: (+26111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3139  [002] 14544.366032015: (+4463)  sched_switch:         stress:3139 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.366061738: (+29723) sched_switch:         ngrok:555 [120] S ==> stress:3139 [120]
          stress-3139  [002] 14544.374558293: (+8496555) sched_switch:         stress:3139 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.374985904: (+427611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.374991534: (+5630)  sched_switch:         stress:3145 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14544.375026626: (+35092) sched_switch:         ngrok:515 [120] S ==> stress:3143 [120]
          stress-3143  [002] 14544.378572867: (+3546241) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3143  [002] 14544.378578404: (+5537)  sched_switch:         stress:3143 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14544.378601256: (+22852) sched_switch:         rcu_preempt:13 [120] W ==> stress:3145 [120]
          stress-3145  [002] 14544.386526515: (+7925259) sched_switch:         stress:3145 [120] R ==> stress:3140 [120]
          stress-3140  [002] 14544.394522886: (+7996371) sched_switch:         stress:3140 [120] R ==> stress:3143 [120]
          stress-3143  [002] 14544.402522830: (+7999944) sched_switch:         stress:3143 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.410522737: (+7999907) sched_switch:         stress:3145 [120] R ==> stress:3139 [120]
          stress-3139  [002] 14544.414145441: (+3622704) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3139  [002] 14544.414163089: (+17648) sched_switch:         stress:3139 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.414231274: (+68185) sched_switch:         ngrok:555 [120] S ==> stress:3140 [120]
