cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
           <...>-3239  [000] 14579.117624753: (+12167) sched_switch:         trace-cmd:3239 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14579.117643883: (+19130) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14579.117650975: (+7092)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14579.117825920: (+174945) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117833735: (+7815)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117880642: (+46907) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14579.117895142: (+14500) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14579.117904531: (+9389)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117908642: (+4111)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117942586: (+33944) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14579.117970105: (+27519) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117974457: (+4352)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117989735: (+15278) sched_switch:         kworker/u9:3:569 [100] W ==> sshd:778 [120]
            sshd-778   [000] 14579.118015124: (+25389) sched_switch:         sshd:778 [120] S ==> trace-cmd:3239 [120]
       trace-cmd-3239  [000] 14579.118226198: (+211074) sched_switch:         trace-cmd:3239 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.119859364: (+1633166) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.119873920: (+14556) sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.119899327: (+25407) sched_switch:         kworker/0:0:2872 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.126272864: (+6373537) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.126276957: (+4093)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.126301864: (+24907) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.131837179: (+5535315) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.131843623: (+6444)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.131851605: (+7982)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.147845772: (+15994167) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.147852383: (+6611)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.147870568: (+18185) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.147883438: (+12870) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.147886901: (+3463)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.147893549: (+6648)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
