cpus=4
          <idle>-0     [001] 14579.119861031:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.119866475: (+5444)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14579.119880735: (+14260) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14579.119886364: (+5629)  sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.119889864: (+3500)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14579.119900235: (+10371) sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14579.131835475: (+11935240) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.131840309: (+4834)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14579.131853512: (+13203) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14579.871895324: (+740041812) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.871904602: (+9278)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14579.871934602: (+30000) sched_switch:         kworker/1:2:2867 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14579.871947806: (+13204) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.871952380: (+4574)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14579.871965139: (+12759) sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14580.895980209: (+1024015070) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14580.895990765: (+10556) sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14580.896016413: (+25648) sched_wakeup:         kworker/1:1:3037 [120]<CANT FIND FIELD success> CPU:001
     kworker/1:2-2867  [001] 14580.896019506: (+3093)  sched_switch:         kworker/1:2:2867 [120] D ==> kworker/1:1:3037 [120]
     kworker/1:1-3037  [001] 14580.896029469: (+9963)  sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
     kworker/1:1-3037  [001] 14580.896032580: (+3111)  sched_switch:         kworker/1:1:3037 [120] W ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14580.896044765: (+12185) sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14581.920057779: (+1024013014) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14581.920066131: (+8352)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14581.920086428: (+20297) sched_switch:         kworker/1:2:2867 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14581.920095076: (+8648)  sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14581.920099150: (+4074)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14581.920110372: (+11222) sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14582.944145146: (+1024034774) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14582.944152924: (+7778)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14582.944175627: (+22703) sched_switch:         kworker/1:2:2867 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14582.944188590: (+12963) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14582.944193183: (+4593)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14582.944203313: (+10130) sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.365255978: (+421052665) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.365261570: (+5592)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.365282107: (+20537) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.367324867: (+2042760) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.367329533: (+4666)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.367350496: (+20963) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.369265681: (+1915185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.369270385: (+4704)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.369287996: (+17611) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.369338941: (+50945) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.369344163: (+5222)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.369356830: (+12667) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.411233737: (+41876907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.411238311: (+4574)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.411256292: (+17981) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14583.411300052: (+43760) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.416348107: (+5048055) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.416353311: (+5204)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.416365644: (+12333) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.417414552: (+1048908) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.417419607: (+5055)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.417443811: (+24204) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.417460570: (+16759) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.417465126: (+4556)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.417488940: (+23814) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.466535440: (+49046500) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.466540459: (+5019)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.466570866: (+30407) sched_switch:         ngrok:552 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.466575385: (+4519)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-515   [001] 14583.466586200: (+10815) sched_switch:         ngrok:515 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14583.466610514: (+24314) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.466656329: (+45815) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.466661477: (+5148)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.466670755: (+9278)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.515657681: (+48986926) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.515663329: (+5648)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.515671385: (+8056)  sched_wakeup:         trace-cmd:3238 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14583.515685959: (+14574) sched_switch:         ngrok:552 [120] S ==> trace-cmd:3238 [120]
       trace-cmd-3238  [001] 14583.515697755: (+11796) sched_switch:         trace-cmd:3238 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.516554422: (+856667) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.516559218: (+4796)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.516568996: (+9778)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.516639199: (+70203) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.516643885: (+4686)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.516650885: (+7000)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.516721255: (+70370) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.516723292: (+2037)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.516728033: (+4741)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.516751125: (+23092) sched_switch:         ngrok:552 [120] S ==> ngrok:515 [120]
           ngrok-515   [001] 14583.516760477: (+9352)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-515   [001] 14583.516765273: (+4796)  sched_switch:         ngrok:515 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14583.516785310: (+20037) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.565834699: (+49049389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.565839551: (+4852)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.565851162: (+11611) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566558570: (+707408) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566563088: (+4518)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566571588: (+8500)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566642088: (+70500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566646495: (+4407)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566653162: (+6667)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566723736: (+70574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566728107: (+4371)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566734625: (+6518)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566805088: (+70463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566809477: (+4389)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566815903: (+6426)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566886384: (+70481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566888366: (+1982)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566892995: (+4629)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566899607: (+6612)  sched_switch:         ngrok:515 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14583.566924644: (+25037) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566932051: (+7407)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566936181: (+4130)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.566955088: (+18907) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.566970292: (+15204) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.566975107: (+4815)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.566983958: (+8851)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.616004310: (+49020352) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.616008921: (+4611)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.616022662: (+13741) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.616561940: (+539278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.616566347: (+4407)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.616574958: (+8611)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.616645421: (+70463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.616649792: (+4371)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
