cpus=4
       trace-cmd-3233  [002] 14579.117623383:          sched_switch:         trace-cmd:3233 [120] S ==> trace-cmd:3240 [120]
       trace-cmd-3240  [002] 14579.118190957: (+567574) sched_switch:         trace-cmd:3240 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.119890049: (+1699092) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.119894290: (+4241)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.119905716: (+11426) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.142207031: (+22301315) sched_wakeup:         trace-cmd:3240 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.142213179: (+6148)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:3240 [120]
       trace-cmd-3240  [002] 14579.142219846: (+6667)  sched_switch:         trace-cmd:3240 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.143836790: (+1616944) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.143844160: (+7370)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.143865494: (+21334) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.151838420: (+7972926) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.151847012: (+8592)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.151858494: (+11482) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.165571086: (+13712592) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.165576827: (+5741)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.165610031: (+33204) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.166656883: (+1046852) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.166661846: (+4963)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.166685623: (+23777) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.166708679: (+23056) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.166729049: (+20370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.166740716: (+11667) sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.166768364: (+27648) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.215815586: (+49047222) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.215820808: (+5222)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.215835068: (+14260) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.216884123: (+1049055) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.216889031: (+4908)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.216903882: (+14851) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.216915308: (+11426) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.216927086: (+11778) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.216934290: (+7204)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.216956845: (+22555) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.227846030: (+10889185) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.227855734: (+9704)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.227874327: (+18593) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.266005234: (+38130907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.266010660: (+5426)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
