cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3233  [002] 14579.117623383: (+10797) sched_switch:         trace-cmd:3233 [120] S ==> trace-cmd:3240 [120]
           <...>-3239  [000] 14579.117624753: (+1370)  sched_switch:         trace-cmd:3239 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14579.117643883: (+19130) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14579.117650975: (+7092)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14579.117825920: (+174945) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117833735: (+7815)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117880642: (+46907) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14579.117895142: (+14500) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14579.117904531: (+9389)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117908642: (+4111)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117942586: (+33944) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14579.117970105: (+27519) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14579.117974457: (+4352)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.117989735: (+15278) sched_switch:         kworker/u9:3:569 [100] W ==> sshd:778 [120]
            sshd-778   [000] 14579.118015124: (+25389) sched_switch:         sshd:778 [120] S ==> trace-cmd:3239 [120]
       trace-cmd-3240  [002] 14579.118190957: (+175833) sched_switch:         trace-cmd:3240 [120] S ==> swapper/2:0 [120]
       trace-cmd-3239  [000] 14579.118226198: (+35241) sched_switch:         trace-cmd:3239 [120] S ==> swapper/0:0 [120]
   task_server.a-3182  [003] 14579.118342809: (+116611) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.118360957: (+18148) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.118375735: (+14778) sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.119607179: (+1231444) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.119617049: (+9870)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.119626494: (+9445)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [000] 14579.119859364: (+232870) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [001] 14579.119861031: (+1667)  sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.119866475: (+5444)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
          <idle>-0     [000] 14579.119873920: (+7445)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     rcu_preempt-13    [001] 14579.119880735: (+6815)  sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14579.119886364: (+5629)  sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14579.119889864: (+3500)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
          <idle>-0     [002] 14579.119890049: (+185)   sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.119894290: (+4241)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/0:0-2872  [000] 14579.119899327: (+5037)  sched_switch:         kworker/0:0:2872 [120] W ==> swapper/0:0 [120]
     kworker/1:2-2867  [001] 14579.119900235: (+908)   sched_switch:         kworker/1:2:2867 [120] W ==> swapper/1:0 [120]
     kworker/2:2-2856  [002] 14579.119905716: (+5481)  sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.120882309: (+976593) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
