cpus=4
       trace-cmd-3276  [002] 14601.959526296:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3276  [002] 14601.959542666: (+16370) sched_switch:         trace-cmd:3276 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14601.959562407: (+19741) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:1-2871  [002] 14601.959571185: (+8778)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
          stress-3287  [000] 14601.959753444: (+182259) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3287  [000] 14601.959760240: (+6796)  sched_switch:         stress:3287 [120] R ==> kworker/u9:3:569 [100]
            sshd-778   [002] 14601.959770833: (+10593) sched_switch:         sshd:778 [120] S ==> trace-cmd:3276 [120]
       trace-cmd-3276  [002] 14601.959776222: (+5389)  sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3276  [002] 14601.959780351: (+4129)  sched_switch:         trace-cmd:3276 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14601.959785555: (+5204)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:1-2871  [002] 14601.959789814: (+4259)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
    kworker/u9:3-569   [000] 14601.959805055: (+15241) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14601.959819888: (+14833) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.959832388: (+12500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.959836981: (+4593)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
            sshd-778   [002] 14601.959841351: (+4370)  sched_switch:         sshd:778 [120] S ==> trace-cmd:3276 [120]
    kworker/u9:3-569   [000] 14601.959846555: (+5204)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
